#     name      zhel      zcmb f    st   +/-   Mmax   +/-    t0  EBVmw eEBVmw  covMs       Anon   Source
SN2005bo   0.0138867 0.0150133 r 0.850 0.007 15.324 0.006  -1.8 0.0396 0.0040 -9.833e-06   Anon   CSP
SN2005bo   0.0138867 0.0150133 u 0.850 0.007 16.308 0.009   1.1 0.0396 0.0040 -2.199e-05   Anon   CSP
SN2005bo   0.0138867 0.0150133 V 0.850 0.007 15.423 0.005  -1.8 0.0396 0.0040 -3.930e-06   Anon   CSP
SN2005el   0.0149000 0.0148833 B 0.840 0.004 14.886 0.007  -7.1 0.0976 0.0098  1.317e-05   Anon   CSP
SN2005el   0.0149000 0.0148833 g 0.840 0.004 14.846 0.008  -5.4 0.0976 0.0098  1.345e-05   Anon   CSP
SN2005el   0.0149000 0.0148833 i 0.840 0.004 15.586 0.009  -4.3 0.0976 0.0098  4.295e-06   Anon   CSP
SN2005el   0.0149000 0.0148833 H 0.840 0.004 15.657 0.020  -2.2 0.0976 0.0098  1.480e-05   Anon   CSP
SN2005el   0.0149000 0.0148833 J 0.840 0.004 15.495 0.017  -2.5 0.0976 0.0098  5.119e-06   Anon   CSP
SN2005el   0.0149000 0.0148833 r 0.840 0.004 15.057 0.007  -6.4 0.0976 0.0098  4.518e-06   Anon   CSP
SN2005el   0.0149000 0.0148833 u 0.840 0.004 15.183 0.012  -5.5 0.0976 0.0098  5.661e-06   Anon   CSP
SN2005el   0.0149000 0.0148833 V 0.840 0.004 14.946 0.007  -8.4 0.0976 0.0098  9.120e-06   Anon   CSP
SN2005el   0.0149000 0.0148833 Y 0.840 0.004 15.503 0.011  -2.2 0.0976 0.0098  3.750e-06   Anon   CSP
SN2005eq   0.0289567 0.0283500 B 1.125 0.011 16.312 0.007  -4.1 0.0629 0.0063  7.995e-06   Anon   CSP
SN2005eq   0.0289567 0.0283500 g 1.125 0.011 16.225 0.006  -4.1 0.0629 0.0063 -4.298e-06   Anon   CSP
SN2005eq   0.0289567 0.0283500 i 1.125 0.011 16.955 0.012  -1.0 0.0629 0.0063  2.494e-05   Anon   CSP
SN2005eq   0.0289567 0.0283500 H 1.125 0.011 17.080 0.046   3.3 0.0629 0.0063 -2.294e-05   Anon   CSP
SN2005eq   0.0289567 0.0283500 K 1.125 0.011 17.524 0.283   1.9 0.0629 0.0063 -5.045e-06   Anon   CSP
SN2005eq   0.0289567 0.0283500 J 1.125 0.011 16.755 0.032  -2.4 0.0629 0.0063 -5.114e-05   Anon   CSP
SN2005eq   0.0289567 0.0283500 r 1.125 0.011 16.348 0.008  -6.3 0.0629 0.0063  5.382e-05   Anon   CSP
SN2005eq   0.0289567 0.0283500 u 1.125 0.011 16.617 0.014  -2.7 0.0629 0.0063 -1.922e-05   Anon   CSP
SN2005eq   0.0289567 0.0283500 V 1.125 0.011 16.241 0.007  -5.1 0.0629 0.0063  2.458e-05   Anon   CSP
SN2005eq   0.0289567 0.0283500 Y 1.125 0.011 16.965 0.020  -2.5 0.0629 0.0063  2.872e-05   Anon   CSP
SN2005hc   0.0459067 0.0444967 B 1.193 0.006 17.319 0.004  -4.8 0.0280 0.0028  4.503e-06   Anon   CSP
SN2005hc   0.0459067 0.0444967 g 1.193 0.006 17.259 0.004  -4.7 0.0280 0.0028  5.177e-06   Anon   CSP
SN2005hc   0.0459067 0.0444967 i 1.193 0.006 18.073 0.007  -1.9 0.0280 0.0028  3.087e-06   Anon   CSP
SN2005hc   0.0459067 0.0444967 H 1.193 0.006 18.035 0.082  -1.6 0.0280 0.0028  1.716e-06   Anon   CSP
SN2005hc   0.0459067 0.0444967 J 1.193 0.006 17.925 0.030  -0.3 0.0280 0.0028 -5.195e-06   Anon   CSP
SN2005hc   0.0459067 0.0444967 r 1.193 0.006 17.420 0.004  -7.4 0.0280 0.0028  7.123e-06   Anon   CSP
SN2005hc   0.0459067 0.0444967 u 1.193 0.006 17.763 0.009  -3.3 0.0280 0.0028  2.307e-06   Anon   CSP
SN2005hc   0.0459067 0.0444967 V 1.193 0.006 17.305 0.004  -6.1 0.0280 0.0028  7.139e-06   Anon   CSP
SN2005hc   0.0459067 0.0444967 Y 1.193 0.006 18.050 0.015  -1.6 0.0280 0.0028 -3.041e-06   Anon   CSP
SN2005hj   0.0579667 0.0569500 B 1.280 0.016 17.780 0.009  -2.4 0.0329 0.0033  2.458e-06   Anon   CSP
SN2005hj   0.0579667 0.0569500 g 1.280 0.016 17.665 0.009  -2.3 0.0329 0.0033  1.261e-06   Anon   CSP
SN2005hj   0.0579667 0.0569500 i 1.280 0.016 18.485 0.016   0.3 0.0329 0.0033  2.519e-06   Anon   CSP
SN2005hj   0.0579667 0.0569500 J 1.280 0.016 18.107 0.093   4.3 0.0329 0.0033 -1.470e-04   Anon   CSP
SN2005hj   0.0579667 0.0569500 r 1.280 0.016 17.812 0.011  -5.8 0.0329 0.0033  5.598e-05   Anon   CSP
SN2005hj   0.0579667 0.0569500 u 1.280 0.016 17.987 0.030  -0.9 0.0329 0.0033 -4.493e-05   Anon   CSP
SN2005hj   0.0579667 0.0569500 V 1.280 0.016 17.695 0.009  -3.6 0.0329 0.0033  2.758e-05   Anon   CSP
SN2005hj   0.0579667 0.0569500 Y 1.280 0.016 18.381 0.043   2.8 0.0329 0.0033 -1.094e-04   Anon   CSP
SN2005iq   0.0340200 0.0329300 B 0.872 0.004 16.794 0.006  -5.3 0.0185 0.0019  1.197e-05   Anon   CSP
SN2005iq   0.0340200 0.0329300 g 0.872 0.004 16.748 0.005  -5.6 0.0185 0.0019  9.742e-06   Anon   CSP
SN2005iq   0.0340200 0.0329300 i 0.872 0.004 17.461 0.009  -2.4 0.0185 0.0019  5.133e-06   Anon   CSP
SN2005iq   0.0340200 0.0329300 H 0.872 0.004 17.503 0.055   1.8 0.0185 0.0019  3.220e-05   Anon   CSP
SN2005iq   0.0340200 0.0329300 J 0.872 0.004 17.293 0.031   1.5 0.0185 0.0019  4.510e-06   Anon   CSP
SN2005iq   0.0340200 0.0329300 r 0.872 0.004 16.928 0.006  -6.6 0.0185 0.0019  4.484e-06   Anon   CSP
SN2005iq   0.0340200 0.0329300 u 0.872 0.004 17.126 0.011  -3.8 0.0185 0.0019  2.600e-06   Anon   CSP
SN2005iq   0.0340200 0.0329300 V 0.872 0.004 16.814 0.005  -6.7 0.0185 0.0019  5.141e-06   Anon   CSP
SN2005iq   0.0340200 0.0329300 Y 0.872 0.004 17.333 0.017   1.9 0.0185 0.0019  2.690e-06   Anon   CSP
SN2005ir   0.0763067 0.0752333 B 1.121 0.021 18.433 0.010  -2.4 0.0265 0.0027 -1.211e-06   Anon   CSP
SN2005ir   0.0763067 0.0752333 g 1.121 0.021 18.383 0.008  -2.3 0.0265 0.0027 -2.022e-05   Anon   CSP
SN2005ir   0.0763067 0.0752333 i 1.121 0.021 19.104 0.017   0.8 0.0265 0.0027  6.002e-05   Anon   CSP
SN2005ir   0.0763067 0.0752333 r 1.121 0.021 18.523 0.011  -4.5 0.0265 0.0027  1.282e-04   Anon   CSP
SN2005ir   0.0763067 0.0752333 u 1.121 0.021 18.811 0.028  -0.9 0.0265 0.0027 -5.213e-05   Anon   CSP
SN2005ir   0.0763067 0.0752333 V 1.121 0.021 18.352 0.011  -3.3 0.0265 0.0027  6.511e-05   Anon   CSP
SN2005kc   0.0151100 0.0138900 B 0.899 0.006 15.582 0.007 -10.5 0.1137 0.0114  1.560e-05   Anon   CSP
SN2005kc   0.0151100 0.0138900 g 0.899 0.006 15.464 0.007 -10.8 0.1137 0.0114  1.431e-05   Anon   CSP
SN2005kc   0.0151100 0.0138900 i 0.899 0.006 15.679 0.011  -7.6 0.1137 0.0114  1.011e-05   Anon   CSP
SN2005kc   0.0151100 0.0138900 H 0.899 0.006 15.591 0.025  -5.3 0.1137 0.0114  2.138e-05   Anon   CSP
SN2005kc   0.0151100 0.0138900 J 0.899 0.006 15.400 0.019  -5.7 0.1137 0.0114  1.385e-05   Anon   CSP
SN2005kc   0.0151100 0.0138900 r 0.899 0.006 15.293 0.007 -11.9 0.1137 0.0114  6.197e-06   Anon   CSP
SN2005kc   0.0151100 0.0138900 u 0.899 0.006 16.085 0.021  -9.1 0.1137 0.0114  5.983e-06   Anon   CSP
SN2005kc   0.0151100 0.0138900 V 0.899 0.006 15.342 0.007 -11.9 0.1137 0.0114  1.014e-05   Anon   CSP
SN2005kc   0.0151100 0.0138900 Y 0.899 0.006 15.471 0.017  -5.1 0.1137 0.0114  1.523e-05   Anon   CSP
SN2005ke   0.0048767 0.0044833 B 0.419 0.004 14.791 0.008  -9.8 0.0200 0.0020  4.913e-06   Anon   CSP
