      SN    st  e_st   zhelio     zcmb    Bmax e_Bmax    Vmax e_Vmax    umax e_umax    gmax e_gmax    rmax e_rmax    imax e_imax    Ymax e_Ymax    Jmax e_Jmax    Hmax e_Hmax EBVhost e_EBVhost    Rv  e_Rv  C(Rv)(EBVhost) ssource   cephV    cephH
SN2007af 0.926 0.003 0.005460 0.006290  13.185  0.006  13.096  0.005  13.706  0.009  13.076  0.005  13.093  0.005  13.629  0.007  13.530  0.011  13.468  0.008  13.619  0.010 0.16600   0.01500 1.956 0.363        -0.00359     CSP       0    N5584
SN2007ai 1.229 0.013 0.031640 0.031987  17.037  0.010  16.843  0.008  17.453  0.101  16.923  0.030  16.878  0.009  17.340  0.013  17.244  0.034  16.934  0.024  17.125  0.035 0.22900   0.04300 2.419 0.605        -0.01438     CSP       0        0
SN2007al 0.336 0.022 0.012113 0.013263  17.296  0.060  16.615  0.015  18.379  0.110  16.924  0.044  16.499  0.037  16.613  0.072  16.369  0.078  16.123  0.082  16.060  0.071 0.18800   0.04100 2.124 0.616        -0.01017     CSP       0        0
SN2007as 0.885 0.005 0.017560 0.017897  15.480  0.006  15.392  0.005  16.154  0.015  15.417  0.006  15.426  0.006  16.069  0.010  15.929  0.017  15.852  0.020  16.066  0.035 0.11800   0.02600 1.380 0.633        -0.01059     CSP       0        0
SN2007ax 0.355 0.011 0.006857 0.007637  16.190  0.023  15.508  0.020  17.789  0.086  15.846  0.020  15.383  0.021  15.533  0.028  15.213  0.032 999.999  9.999  15.115  0.092 0.24700   0.03400 1.510 0.493        -0.00682     CSP       0        0
SN2007ba 0.544 0.007 0.038487 0.039053  17.764  0.012  17.440  0.009  18.586  0.043  17.542  0.010  17.346  0.013  17.683  0.020  17.672  0.019  17.609  0.035  17.554  0.093 0.20000   0.02200 0.974 0.413        -0.00359     CSP       0        0
SN2007bc 0.876 0.006 0.020757 0.021850  15.850  0.007  15.806  0.006  16.272  0.016  15.806  0.007  15.841  0.007  16.367  0.012  16.243  0.025  16.314  0.027  16.418  0.067 0.10900   0.01300 1.741 0.524        -0.00298     CSP       0        0
SN2007bd 0.880 0.005 0.030997 0.031827  16.552  0.008  16.558  0.008  17.001  0.022  16.494  0.008  16.603  0.007  17.207  0.014  17.116  0.020  17.086  0.037  17.273  0.056 0.06500   0.01500 0.992 0.900        -0.00601     CSP       0        0
SN2007bm 0.900 0.008 0.006207 0.007440  14.404  0.008  13.979  0.008  15.285  0.027  14.194  0.030  13.799  0.033  14.116  0.016  13.970  0.042  13.848  0.017  13.962  0.030 0.53200   0.02000 1.777 0.148        -0.00212     CSP       0        0
SN2007ca 1.061 0.008 0.014057 0.015070  15.892  0.006  15.634  0.006  16.519  0.022  15.747  0.005  15.589  0.006  16.001  0.011  15.844  0.023  15.644  0.018  15.730  0.022 0.34300   0.02100 3.072 0.292        -0.00490     CSP       0        0
SN2007cg 1.103 0.048 0.033173 0.034168  18.212  0.077  17.542  0.055  19.280  0.178  17.811  0.048  17.345  0.050  17.689  0.074  17.324  0.094 999.999  9.999 999.999  9.999 0.73800   0.04400 2.211 0.309        -0.00831     CSP       0        0
SN2007hj 0.603 0.005 0.014103 0.012882  15.613  0.005  15.411  0.005  16.410  0.014  15.466  0.006  15.402  0.005  15.808  0.010  15.669  0.057  15.506  0.072  15.727  0.041 0.12000   0.02300 1.410 0.717        -0.00902     CSP       0        0
SN2007hx 1.053 0.043 0.079760 0.078873  19.283  0.062  19.048  0.045  19.714  0.175  19.119  0.037  19.101  0.036  19.562  0.074  19.423  0.090 999.999  9.999 999.999  9.999 0.28100   0.03300 2.430 0.545        -0.00800     CSP       0        0
SN2007jd 0.877 0.034 0.072583 0.071911  18.827  0.069  18.739  0.052  19.873  0.232  18.800  0.041  18.830  0.038  19.305  0.083  19.314  0.127  19.120  0.139 999.999  9.999 0.12100   0.03500 1.651 0.756        -0.00952     CSP       0        0
SN2007jg 0.925 0.007 0.037107 0.036577  17.252  0.008  17.214  0.007  18.117  0.025  17.212  0.007  17.293  0.009  17.879  0.011  17.803  0.042  17.610  0.027  17.602  0.069 0.11100   0.01900 2.274 0.664        -0.00732     CSP       0        0
SN2007jh 0.584 0.019 0.040767 0.040267  18.352  0.022  18.012  0.019 999.999  9.999  18.140  0.017  17.982  0.017  18.347  0.033  17.911  0.239 999.999  9.999 999.999  9.999 0.21900   0.03100 1.981 0.729        -0.00734     CSP       0        0
SN2007le 1.028 0.004 0.006717 0.005523  13.904  0.006  13.586  0.005  14.684  0.018  13.740  0.005  13.539  0.005  14.085  0.007  13.965  0.013  13.758  0.011  13.981  0.009 0.38000   0.01600 1.941 0.166        -0.00169     CSP       0        0
SN2007mm 0.501 0.018 0.066354 0.068873  19.746  0.035  19.237  0.023 999.999  9.999  19.462  0.021  19.240  0.018  19.496  0.028 999.999  9.999 999.999  9.999 999.999  9.999 0.25400   0.03100 1.781 0.742        -0.00656     CSP       0        0
SN2007nq 0.750 0.005 0.045000 0.043903  17.414  0.008  17.371  0.006  17.897  0.023  17.342  0.007  17.462  0.006  17.946  0.009  17.748  0.062  17.626  0.095  17.641  0.102 0.05200   0.01300 2.802 1.169        -0.00373     CSP       0        0
SN2007ol 0.696 0.035 0.055870 0.054882  18.045  0.016  18.115  0.023  18.552  0.033  17.963  0.020  18.183  0.031 999.999  9.999 999.999  9.999 999.999  9.999 999.999  9.999 0.00700   0.00800 1.734 1.326        -0.00044     CSP       0        0
SN2007on 0.570 0.004 0.006490 0.006183  13.027  0.006  12.914  0.006  13.620  0.011  12.919  0.008  12.969  0.007  13.354  0.018  13.238  0.013  13.109  0.016  13.253  0.015 0.00700   0.01000 1.951 1.377         0.00196     CSP       0        0
SN2007so 0.853 0.011 0.029667 0.028929  16.387  0.044  16.374  0.028  16.605  0.143  16.302  0.037  16.432  0.024  16.752  0.032  16.561  0.041  15.866  0.109  16.373  0.082 0.15500   0.02700 4.081 1.054        -0.02249     CSP       0        0
SN2007sr 0.988 0.017 0.005473 0.006656  12.752  0.046  12.606  0.035  13.367  0.070  12.653  0.025  12.644  0.025  13.250  0.056  13.323  0.053  13.090  0.067  13.420  0.028 0.18300   0.02800 1.319 0.479        -0.00873     CSP       0    N4038
SN2007st 0.742 0.023 0.021167 0.020651  15.852  0.060  15.691  0.049  16.370  0.092  15.768  0.037  15.739  0.036  16.124  0.069  15.947  0.070  15.671  0.122  16.141  0.081 0.15300   0.02700 2.037 0.612        -0.00943     CSP       0        0
SN2007ux 0.600 0.008 0.030893 0.031996  17.397  0.007  17.199  0.005  18.174  0.024  17.253  0.007  17.242  0.006  17.608  0.011  17.496  0.034  17.417  0.022  17.562  0.030 0.09500   0.01900 1.302 0.728        -0.00635     CSP       0        0
SN2008C  0.953 0.026 0.016610 0.017067  15.643  0.062  15.470  0.046  16.233  0.108  15.524  0.038  15.456  0.035  15.935  0.071  15.930  0.089  15.721  0.101  16.002  0.060 0.24400   0.03400 1.820 0.504        -0.01170     CSP       0        0
SN2008O  0.655 0.013 0.038830 0.039318  18.133  0.013  17.830  0.011  19.371  0.058  17.969  0.010  17.708  0.010  18.088  0.020  17.953  0.040  17.835  0.043  17.979  0.075 0.31000   0.02500 1.187 0.320        -0.00494     CSP       0        0
SN2008R  0.591 0.005 0.013493 0.012887  15.259  0.005  15.140  0.006  15.846  0.014  15.137  0.006  15.156  0.007  15.571  0.012  15.510  0.057  15.358  0.076  15.564  0.051 0.03000   0.01800 1.384 1.246        -0.00597     CSP       0        0
SN2008ar 0.970 0.006 0.026130 0.027247  16.228  0.009  16.205  0.007  16.758  0.022  16.182  0.009  16.244  0.009  16.853  0.012  16.884  0.021  16.815  0.029  16.900  0.061 0.10300   0.01500 1.589 0.564        -0.00430     CSP       0        0
SN2008bc 1.048 0.004 0.015077 0.015707  14.748  0.003  14.778  0.004  15.152  0.006  14.716  0.004  14.902  0.004  15.586  0.007  15.677  0.013  15.541  0.014  15.762  0.019 0.02400   0.02000 1.464 1.299        -0.00782     CSP       0        0
SN2008bd 0.415 0.011 0.030083 0.031280  18.071  0.055  17.493  0.038 999.999  9.999  17.680  0.068  17.630  0.055  17.768  0.077  17.630  0.043  16.766  0.140  17.429  0.143 0.15100   0.03500 2.161 0.666        -0.00966     CSP       0        0
SN2008bf 1.024 0.005 0.023484 0.024554  15.712  0.004  15.745  0.004  16.059  0.009  15.669  0.004  15.883  0.005  16.512  0.007  16.618  0.015  16.426  0.012  16.856  0.045 0.01400   0.01200 1.145 1.437        -0.00672     CSP       0        0
